,Car Brand,Varient,Year released,car_transmission,Kilometers_travelled,owned,fuel_varient,price,emi_available
349,Maruti,Vitara  Brezza,2018,Automatic,"97,271",1st,Diesel,"₹8,19,499","₹15,389/month"
350,Maruti,S  PRESSO,2021,Manual,"29,604",1st,CNG,"₹5,09,499","₹9,961/month"
351,Maruti,IGNIS,2017,Manual,"86,513",1st,Petrol,"₹4,66,499","₹9,120/month"
352,Hyundai,Creta,2019,Automatic,"83,734",1st,Petrol,"₹13,58,199","₹25,506/month"
353,Hyundai,Elite  i20,2019,Manual,"59,444",1st,Petrol,"₹7,97,399","₹15,589/month"
354,Maruti,Baleno,2016,Manual,"65,642",1st,Petrol,"₹6,46,899","₹12,647/month"
355,Hyundai,Grand  i10,2017,Manual,"58,861",1st,Petrol,"₹5,35,799","₹10,475/month"
356,Maruti,S  PRESSO,2020,Manual,"23,538",1st,Petrol,"₹4,35,599","₹8,516/month"
357,Maruti,Alto,2021,Manual,"13,565",1st,Petrol,"₹3,99,599","₹7,812/month"
358,Maruti,Baleno,2020,Manual,"84,471",1st,Petrol,"₹6,91,899","₹13,527/month"
359,Maruti,Alto  K10,2018,Manual,"31,007",3rd,Petrol,"₹3,89,699","₹7,619/month"
360,Maruti,Alto  800,2018,Manual,"97,360",1st,Petrol,"₹3,24,299","₹6,340/month"
361,Hyundai,Verna,2018,Manual,"40,808",1st,Petrol,"₹10,14,599","₹19,053/month"
362,Hyundai,Elite  i20,2019,Manual,"56,973",1st,Petrol,"₹7,79,199","₹15,233/month"
363,Maruti,IGNIS,2017,Manual,"60,071",2nd,Petrol,"₹4,67,799","₹9,146/month"
364,Honda,City,2018,Manual,"55,618",1st,Petrol,"₹10,14,899","₹19,059/month"
365,Datsun,Redi  Go,2021,Manual,"33,063",2nd,Petrol,"₹3,94,599","₹7,714/month"
367,Maruti,Wagon  R  1.0,2014,Manual,"61,324",2nd,Petrol,"₹3,92,599","₹7,675/month"
369,Maruti,Alto,2019,Manual,"17,607",1st,Petrol,"₹4,13,999","₹8,094/month"
370,Maruti,Alto,2021,Manual,"8,924",1st,Petrol,"₹4,03,699","₹7,892/month"
